player_stats_id,player_id,game_id,PaComp,PaAtt,PaYd,PaTD,PaINT,RuAtt,RuYd,RuTD,Target,Rec,ReYd,ReTD
452,147,2024091505,,,,,,0,0,0,4,3,54,1
453,131,2024091505,,,,,,2,-10,0,10,8,110,0
454,137,2024091509,,,,,,0,0,0,4,2,94,0
455,122,2024091502,,,,,,1,15,0,11,5,79,0
456,171,2024091512,,,,,,0,0,0,5,4,93,0
457,212,2024091501,,,,,,1,7,0,6,4,81,0
458,244,2024091503,,,,,,0,0,0,4,3,26,1
459,210,2024091501,,,,,,0,0,0,9,6,82,0
460,161,2024091507,,,,,,0,0,0,4,2,18,1
461,145,2024091509,,,,,,0,0,0,6,5,73,0
462,221,2024091506,,,,,,1,0,0,3,2,12,1
463,167,2024091503,,,,,,0,0,0,3,3,62,0
464,158,2024091504,,,,,,1,5,0,6,4,57,0
465,329,2024091507,,,,,,0,0,0,3,3,56,0
466,140,2024091201,,,,,,1,2,0,5,5,54,0
467,168,2024091514,,,,,,0,0,0,10,6,53,0
468,236,2024091512,,,,,,0,0,0,5,4,50,0
469,174,2024091511,,,,,,0,0,0,4,2,50,0
470,330,2024091511,,,,,,0,0,0,4,3,48,0
471,331,2024091513,,,,,,0,0,0,2,1,47,0
472,120,2024091503,,,,,,2,37,0,2,2,9,0
473,163,2024091601,,,,,,1,3,0,5,3,42,0
474,136,2024091201,,,,,,1,4,0,4,4,41,0
475,214,2024091509,,,,,,0,0,0,8,6,44,0
476,184,2024091505,,,,,,0,0,0,5,4,43,0
477,157,2024091509,,,,,,0,0,0,7,3,43,0
478,126,2024091502,,,,,,0,0,0,6,3,42,0
479,162,2024091510,,,,,,0,0,0,4,3,40,0
480,129,2024091514,,,,,,0,0,0,6,4,37,0
481,154,2024091505,,,,,,0,0,0,4,2,37,0
482,127,2024091511,,,,,,0,0,0,6,4,37,0
483,123,2024091201,,,,,,1,12,0,6,3,24,0
484,156,2024091513,,,,,,0,0,0,5,4,35,0
485,211,2024091514,,,,,,0,0,0,5,2,33,0
486,187,2024091507,,,,,,0,0,0,4,3,33,0
487,219,2024091514,,,,,,0,0,0,4,3,32,0
488,153,2024091511,,,,,,0,0,0,2,2,31,0
489,231,2024091503,,,,,,0,0,0,4,1,30,0
490,155,2024091510,,,,,,0,0,0,5,4,29,0
491,150,2024091512,,,,,,0,0,0,4,2,29,0
492,332,2024091509,,,,,,0,0,0,3,3,27,0
493,209,2024091502,,,,,,0,0,0,4,3,27,0
494,196,2024091504,,,,,,0,0,0,5,2,26,0
495,141,2024091508,,,,,,0,0,0,4,2,26,0
496,177,2024091512,,,,,,0,0,0,4,1,26,0
497,333,2024091601,,,,,,0,0,0,6,6,23,0
498,199,2024091507,,,,,,0,0,0,8,6,22,0
499,188,2024091513,,,,,,0,0,0,2,2,22,0
500,334,2024091511,,,,,,0,0,0,2,2,22,0
501,124,2024091513,,,,,,1,5,0,4,2,17,0
502,142,2024091502,,,,,,0,0,0,2,1,21,0
